"Poboación activa por sexo e ramas de actividade"
"Miles de persoas"


;;"Total";
"2010"
"Total"
;Galicia;1304,4
;A Coruña;544,9
;Lugo;161,0
;Ourense;142,8
;Pontevedra;455,8
"Agricultura, gandaría, caza e silvicultura (01, 02)"
;Galicia;70,1
;A Coruña;19,0
;Lugo;29,4
;Ourense;9,5
;Pontevedra;12,1
"Pesca e acuicltura (03)"
;Galicia;22,2
;A Coruña;9,1
;Lugo;0,9
;Ourense;0,0
;Pontevedra;12,2
"Industrias extractivas (05-09)"
;Galicia;5,7
;A Coruña;1,7
;Lugo;0,6
;Ourense;1,9
;Pontevedra;1,5
"Industria manufactureira (10-33)"
;Galicia;174,5
;A Coruña;64,5
;Lugo;14,8
;Ourense;17,0
;Pontevedra;78,2
"Enerxía, subministro de auga e xestión de residuos (35-39)"
;Galicia;10,5
;A Coruña;4,8
;Lugo;0,7
;Ourense;1,4
;Pontevedra;3,6
"Construción (41-43)"
;Galicia;123,8
;A Coruña;54,8
;Lugo;16,1
;Ourense;14,5
;Pontevedra;38,5
"Comercio por xunto e ao retallo; reparación de vehículos de motor e motocicletas (45-47)"
;Galicia;193,1
;A Coruña;83,5
;Lugo;22,4
;Ourense;20,1
;Pontevedra;67,1
"Transporte e almacenamento (49-53)"
;Galicia;53,0
;A Coruña;19,1
;Lugo;7,0
;Ourense;6,1
;Pontevedra;20,8
"Hostalaria (55, 56)"
;Galicia;79,2
;A Coruña;32,6
;Lugo;10,1
;Ourense;7,8
;Pontevedra;28,7
"Actividades de información, financeiras, inmobiliarias e profesionais (58-82)"
;Galicia;143,9
;A Coruña;70,4
;Lugo;13,1
;Ourense;12,4
;Pontevedra;48,0
"Administración pública e defensa; seguranza social obrigatoria (84)"
;Galicia;82,5
;A Coruña;34,4
;Lugo;10,8
;Ourense;12,8
;Pontevedra;24,6
"Educación (85)"
;Galicia;72,2
;A Coruña;34,4
;Lugo;7,8
;Ourense;7,0
;Pontevedra;22,9
"Actividades sanitarias e de servizos sociais (86-88)"
;Galicia;85,3
;A Coruña;38,8
;Lugo;10,2
;Ourense;10,6
;Pontevedra;25,7
"Resto de servizos (90-99)"
;Galicia;92,1
;A Coruña;39,6
;Lugo;9,2
;Ourense;9,7
;Pontevedra;33,7
"Parados que busca 1º emprego"
;Galicia;15,9
;A Coruña;6,2
;Lugo;1,9
;Ourense;2,4
;Pontevedra;5,4
"Parados que levan máis dun ano sen traballar"
;Galicia;80,2
;A Coruña;32,1
;Lugo;5,8
;Ourense;9,5
;Pontevedra;32,9
"2011"
"Total"
;Galicia;1316,6
;A Coruña;551,1
;Lugo;161,8
;Ourense;144,8
;Pontevedra;458,7
"Agricultura, gandaría, caza e silvicultura (01, 02)"
;Galicia;68,2
;A Coruña;20,6
;Lugo;25,4
;Ourense;9,0
;Pontevedra;13,1
"Pesca e acuicltura (03)"
;Galicia;20,6
;A Coruña;9,3
;Lugo;0,8
;Ourense;0,0
;Pontevedra;10,4
"Industrias extractivas (05-09)"
;Galicia;5,9
;A Coruña;2,5
;Lugo;0,6
;Ourense;1,4
;Pontevedra;1,3
"Industria manufactureira (10-33)"
;Galicia;177,0
;A Coruña;67,6
;Lugo;16,0
;Ourense;18,8
;Pontevedra;74,6
"Enerxía, subministro de auga e xestión de residuos (35-39)"
;Galicia;11,2
;A Coruña;5,2
;Lugo;1,3
;Ourense;1,3
;Pontevedra;3,4
"Construción (41-43)"
;Galicia;108,1
;A Coruña;45,2
;Lugo;16,0
;Ourense;13,6
;Pontevedra;33,3
"Comercio por xunto e ao retallo; reparación de vehículos de motor e motocicletas (45-47)"
;Galicia;196,6
;A Coruña;84,9
;Lugo;22,3
;Ourense;21,7
;Pontevedra;67,7
"Transporte e almacenamento (49-53)"
;Galicia;51,6
;A Coruña;19,4
;Lugo;7,0
;Ourense;5,3
;Pontevedra;19,9
"Hostalaria (55, 56)"
;Galicia;82,1
;A Coruña;31,7
;Lugo;9,7
;Ourense;9,6
;Pontevedra;31,1
"Actividades de información, financeiras, inmobiliarias e profesionais (58-82)"
;Galicia;141,6
;A Coruña;70,9
;Lugo;11,6
;Ourense;10,2
;Pontevedra;49,0
"Administración pública e defensa; seguranza social obrigatoria (84)"
;Galicia;82,2
;A Coruña;36,3
;Lugo;9,6
;Ourense;12,0
;Pontevedra;24,3
"Educación (85)"
;Galicia;80,3
;A Coruña;39,3
;Lugo;9,0
;Ourense;8,0
;Pontevedra;24,0
"Actividades sanitarias e de servizos sociais (86-88)"
;Galicia;89,7
;A Coruña;38,1
;Lugo;12,5
;Ourense;10,7
;Pontevedra;28,3
"Resto de servizos (90-99)"
;Galicia;84,7
;A Coruña;39,5
;Lugo;9,3
;Ourense;8,4
;Pontevedra;27,4
"Parados que busca 1º emprego"
;Galicia;17,6
;A Coruña;5,0
;Lugo;2,3
;Ourense;2,6
;Pontevedra;7,6
"Parados que levan máis dun ano sen traballar"
;Galicia;99,1
;A Coruña;35,5
;Lugo;8,3
;Ourense;12,1
;Pontevedra;43,2
"2012"
"Total"
;Galicia;1317,7
;A Coruña;555,2
;Lugo;158,2
;Ourense;142,8
;Pontevedra;461,5
"Agricultura, gandaría, caza e silvicultura (01, 02)"
;Galicia;63,2
;A Coruña;19,5
;Lugo;24,5
;Ourense;7,8
;Pontevedra;11,3
"Pesca e acuicltura (03)"
;Galicia;21,6
;A Coruña;8,5
;Lugo;1,0
;Ourense;0,0
;Pontevedra;12,1
"Industrias extractivas (05-09)"
;Galicia;5,2
;A Coruña;1,5
;Lugo;1,0
;Ourense;1,6
;Pontevedra;1,1
"Industria manufactureira (10-33)"
;Galicia;167,5
;A Coruña;62,8
;Lugo;15,4
;Ourense;18,4
;Pontevedra;70,9
"Enerxía, subministro de auga e xestión de residuos (35-39)"
;Galicia;12,1
;A Coruña;6,0
;Lugo;0,9
;Ourense;1,7
;Pontevedra;3,5
"Construción (41-43)"
;Galicia;99,7
;A Coruña;42,6
;Lugo;12,1
;Ourense;12,3
;Pontevedra;32,7
"Comercio por xunto e ao retallo; reparación de vehículos de motor e motocicletas (45-47)"
;Galicia;195,4
;A Coruña;84,7
;Lugo;22,4
;Ourense;22,1
;Pontevedra;66,1
"Transporte e almacenamento (49-53)"
;Galicia;50,4
;A Coruña;19,6
;Lugo;7,2
;Ourense;4,7
;Pontevedra;18,8
"Hostalaria (55, 56)"
;Galicia;81,7
;A Coruña;34,1
;Lugo;9,6
;Ourense;9,3
;Pontevedra;28,7
"Actividades de información, financeiras, inmobiliarias e profesionais (58-82)"
;Galicia;138,6
;A Coruña;70,5
;Lugo;10,5
;Ourense;11,2
;Pontevedra;46,3
"Administración pública e defensa; seguranza social obrigatoria (84)"
;Galicia;82,6
;A Coruña;38,5
;Lugo;11,0
;Ourense;10,7
;Pontevedra;22,5
"Educación (85)"
;Galicia;77,0
;A Coruña;38,5
;Lugo;8,2
;Ourense;6,8
;Pontevedra;23,5
