rgn_id,year,value
182,2005,0.6458390402337302
182,2006,0.6610664553359638
182,2007,0.6723348063112771
182,2008,0.6675636171557819
182,2009,0.6367772659071398
182,2010,0.634884898208264
182,2011,0.6274808457210539
182,2012,0.6085189610235415
182,2013,0.6019485306948817
182,2014,0.612177759058753
182,2015,0.6361697233065506
182,2016,0.6549419207103679
182,2017,0.6728511448122249
182,2018,0.6852145185822283
182,2019,0.6938114375201156
182,2020,0.6122361475204393
182,2021,0.6453465698518915
182,2022,0.6776809543049187
