"year","scientificname","total_tons"
2003,"aphanopus carbo",172389
2003,"argentina silus",162064
2003,"beryx spp",166154
2003,"brosme brosme",164740
2003,"capros aper",166320
2003,"centrophorus squamosus",160635
2003,"cetorhinus maximus",159907
2003,"clupea harengus",646888
2003,"coryphaenoides rupestris",330700
2003,"dalatias licha",160651
2003,"dicentrarchus labrax",340634
2003,"engraulis encrasicolus",161831
2003,"eutrigla gurnardus",167044
2003,"gadus morhua",494136
2003,"galeus melastomus",160034
2003,"glyptocephalus cynoglossus",172873
2003,"hoplostethus atlanticus",166139
2003,"lamna nasus",159911
2003,"macrourus berglax",165421
2003,"melanogrammus aeglefinus",329488
2003,"merlangius merlangus",494274
2003,"micromesistius poutassou",164774
2003,"microstomus kitt",172888
2003,"molva dypterygia",329522
2003,"molva molva",164760
2003,"mustelus spp",160226
2003,"nephrops norvegicus",97317
2003,"pagellus bogaraveo",169212
2003,"pleuronectes platessa",1037412
2003,"raja brachyura",160880
2003,"raja clavata",482703
2003,"raja microocellata",160882
2003,"raja montagui",482649
2003,"raja undulata",160900
2003,"sardina pilchardus",161813
2003,"scophthalmus rhombus",172749
2003,"scyliorhinus canicula",320130
2003,"solea solea",1038012
2003,"sprattus sprattus",323578
2003,"squalus acanthias",160617
2003,"squatina squatina",160788
2003,"trachurus trachurus",337176
2004,"aphanopus carbo",172389
2004,"argentina silus",162064
2004,"beryx spp",166154
2004,"brosme brosme",164740
2004,"capros aper",166320
2004,"centrophorus squamosus",160635
2004,"cetorhinus maximus",159907
2004,"clupea harengus",646888
2004,"coryphaenoides rupestris",330700
2004,"dalatias licha",160651
2004,"dicentrarchus labrax",340634
2004,"engraulis encrasicolus",161831
2004,"eutrigla gurnardus",167044
2004,"gadus morhua",494136
2004,"galeus melastomus",160034
2004,"glyptocephalus cynoglossus",172873
2004,"hoplostethus atlanticus",166139
2004,"lamna nasus",159911
2004,"macrourus berglax",165421
2004,"melanogrammus aeglefinus",329488
2004,"merlangius merlangus",494274
2004,"micromesistius poutassou",164774
2004,"microstomus kitt",172888
2004,"molva dypterygia",329522
2004,"molva molva",164760
2004,"mullus surmuletus",169418
2004,"mustelus spp",160226
2004,"nephrops norvegicus",97317
2004,"pagellus bogaraveo",169212
2004,"pleuronectes platessa",1037412
2004,"raja brachyura",160880
2004,"raja clavata",482703
2004,"raja microocellata",160882
2004,"raja montagui",482649
2004,"raja undulata",160900
2004,"sardina pilchardus",161813
2004,"scophthalmus rhombus",172749
2004,"scyliorhinus canicula",320130
2004,"solea solea",1038012
2004,"sprattus sprattus",323578
2004,"squalus acanthias",160617
2004,"squatina squatina",160788
2004,"trachurus trachurus",337176
2005,"aphanopus carbo",172389
2005,"argentina silus",162064
2005,"beryx spp",166154
2005,"brosme brosme",164740
2005,"capros aper",166320
2005,"centrophorus squamosus",160635
2005,"cetorhinus maximus",159907
2005,"clupea harengus",646888
2005,"coryphaenoides rupestris",330700
2005,"dalatias licha",160651
2005,"dicentrarchus labrax",340634
2005,"engraulis encrasicolus",161831
2005,"eutrigla gurnardus",167044
2005,"gadus morhua",494136
2005,"galeorhinus galeus",160181
2005,"galeus melastomus",160034
2005,"glyptocephalus cynoglossus",172873
2005,"hoplostethus atlanticus",166139
2005,"lamna nasus",159911
2005,"leucoraja naevus",564143
2005,"macrourus berglax",165421
2005,"melanogrammus aeglefinus",329488
2005,"merlangius merlangus",494274
2005,"micromesistius poutassou",164774
2005,"microstomus kitt",172888
2005,"molva dypterygia",329522
2005,"molva molva",164760
2005,"mullus surmuletus",169418
2005,"mustelus spp",160226
2005,"nephrops norvegicus",97317
2005,"pagellus bogaraveo",169212
2005,"phycis blennoides",164751
2005,"pleuronectes platessa",1037412
2005,"raja brachyura",160880
2005,"raja clavata",482703
2005,"raja microocellata",160882
2005,"raja montagui",643532
2005,"raja undulata",160900
2005,"sardina pilchardus",161813
2005,"scophthalmus rhombus",172749
2005,"scyliorhinus canicula",320130
2005,"solea solea",1038012
2005,"sprattus sprattus",323578
2005,"squalus acanthias",160617
2005,"squatina squatina",160788
2005,"trachurus trachurus",337176
2006,"aphanopus carbo",172389
2006,"argentina silus",162064
2006,"beryx spp",166154
2006,"brosme brosme",164740
2006,"capros aper",166320
2006,"centrophorus squamosus",160635
2006,"cetorhinus maximus",159907
2006,"chelidonichthys cuculus",692071
2006,"clupea harengus",646888
2006,"coryphaenoides rupestris",330700
2006,"dalatias licha",160651
2006,"dicentrarchus labrax",340634
2006,"engraulis encrasicolus",161831
2006,"eutrigla gurnardus",167044
2006,"gadus morhua",494136
2006,"galeorhinus galeus",160181
2006,"galeus melastomus",160034
2006,"glyptocephalus cynoglossus",172873
2006,"hoplostethus atlanticus",166139
2006,"lamna nasus",159911
2006,"leucoraja naevus",564143
2006,"macrourus berglax",165421
2006,"melanogrammus aeglefinus",329488
2006,"merlangius merlangus",494274
2006,"micromesistius poutassou",164774
2006,"microstomus kitt",172888
2006,"molva dypterygia",329522
2006,"molva molva",164760
2006,"mullus surmuletus",169418
2006,"mustelus spp",160226
2006,"nephrops norvegicus",97317
2006,"pagellus bogaraveo",169212
2006,"phycis blennoides",164751
2006,"pleuronectes platessa",1037412
2006,"raja brachyura",160880
2006,"raja clavata",482703
2006,"raja microocellata",160882
2006,"raja montagui",643532
2006,"raja undulata",160900
2006,"sardina pilchardus",161813
2006,"scophthalmus rhombus",172749
2006,"scyliorhinus canicula",320130
2006,"solea solea",1038012
2006,"sprattus sprattus",323578
2006,"squalus acanthias",160617
2006,"squatina squatina",160788
2006,"trachurus trachurus",337176
2007,"aphanopus carbo",172389
2007,"argentina silus",162064
2007,"beryx spp",166154
2007,"brosme brosme",164740
2007,"capros aper",166320
2007,"centrophorus squamosus",160635
2007,"cetorhinus maximus",159907
2007,"chelidonichthys cuculus",692071
2007,"clupea harengus",646888
2007,"coryphaenoides rupestris",330700
2007,"dalatias licha",160651
2007,"dicentrarchus labrax",340634
2007,"engraulis encrasicolus",161831
2007,"eutrigla gurnardus",167044
2007,"gadus morhua",494136
2007,"galeorhinus galeus",160181
2007,"galeus melastomus",160034
2007,"glyptocephalus cynoglossus",172873
2007,"hoplostethus atlanticus",166139
2007,"lamna nasus",159911
2007,"leucoraja naevus",564143
2007,"macrourus berglax",165421
2007,"melanogrammus aeglefinus",329488
2007,"merlangius merlangus",494274
2007,"micromesistius poutassou",164774
2007,"microstomus kitt",172888
2007,"molva dypterygia",329522
2007,"molva molva",164760
2007,"mullus surmuletus",169418
2007,"mustelus spp",160226
2007,"nephrops norvegicus",97317
2007,"pagellus bogaraveo",169212
2007,"phycis blennoides",164751
2007,"pleuronectes platessa",1037412
2007,"raja brachyura",160880
2007,"raja clavata",482703
2007,"raja microocellata",160882
2007,"raja montagui",643532
2007,"raja undulata",160900
2007,"sardina pilchardus",161813
2007,"scophthalmus rhombus",172749
2007,"scyliorhinus canicula",320130
2007,"solea solea",1038012
2007,"sprattus sprattus",323578
2007,"squalus acanthias",160617
2007,"squatina squatina",160788
2007,"trachurus trachurus",337176
2008,"aphanopus carbo",172389
2008,"argentina silus",162064
2008,"beryx spp",166154
2008,"brosme brosme",164740
2008,"capros aper",166320
2008,"centrophorus squamosus",160635
2008,"cetorhinus maximus",159907
2008,"chelidonichthys cuculus",692071
2008,"clupea harengus",646888
2008,"coryphaenoides rupestris",330700
2008,"dalatias licha",160651
2008,"dicentrarchus labrax",340634
2008,"engraulis encrasicolus",161831
2008,"eutrigla gurnardus",167044
2008,"gadus morhua",494136
2008,"galeorhinus galeus",160181
2008,"galeus melastomus",160034
2008,"glyptocephalus cynoglossus",172873
2008,"hoplostethus atlanticus",166139
2008,"lamna nasus",159911
2008,"leucoraja naevus",564143
2008,"macrourus berglax",165421
2008,"melanogrammus aeglefinus",329488
2008,"merlangius merlangus",494274
2008,"micromesistius poutassou",164774
2008,"microstomus kitt",172888
2008,"molva dypterygia",329522
2008,"molva molva",164760
2008,"mullus surmuletus",169418
2008,"mustelus spp",160226
2008,"nephrops norvegicus",97317
2008,"pagellus bogaraveo",169212
2008,"phycis blennoides",164751
2008,"pleuronectes platessa",1037412
2008,"raja brachyura",160880
2008,"raja clavata",482703
2008,"raja microocellata",160882
2008,"raja montagui",643532
2008,"raja undulata",160900
2008,"sardina pilchardus",161813
2008,"scophthalmus rhombus",172749
2008,"scyliorhinus canicula",320130
2008,"solea solea",1038012
2008,"sprattus sprattus",323578
2008,"squalus acanthias",160617
2008,"squatina squatina",160788
2008,"trachurus trachurus",337176
2009,"aphanopus carbo",172389
2009,"argentina silus",162064
2009,"beryx spp",166154
2009,"brosme brosme",164740
2009,"capros aper",166320
2009,"centrophorus squamosus",160635
2009,"cetorhinus maximus",159907
2009,"chelidonichthys cuculus",692071
2009,"clupea harengus",646888
2009,"coryphaenoides rupestris",330700
2009,"dalatias licha",160651
2009,"dicentrarchus labrax",340634
2009,"engraulis encrasicolus",161831
2009,"eutrigla gurnardus",167044
2009,"gadus morhua",494136
2009,"galeorhinus galeus",160181
2009,"galeus melastomus",160034
2009,"glyptocephalus cynoglossus",172873
2009,"hoplostethus atlanticus",166139
2009,"lamna nasus",159911
2009,"leucoraja circularis",564128
2009,"leucoraja fullonica",564134
2009,"leucoraja naevus",564143
2009,"macrourus berglax",165421
2009,"melanogrammus aeglefinus",329488
2009,"merlangius merlangus",494274
2009,"micromesistius poutassou",164774
2009,"microstomus kitt",172888
2009,"molva dypterygia",329522
2009,"molva molva",164760
2009,"mullus surmuletus",169418
2009,"mustelus spp",160226
2009,"nephrops norvegicus",97317
2009,"pagellus bogaraveo",169212
2009,"phycis blennoides",164751
2009,"pleuronectes platessa",1037412
2009,"raja brachyura",482640
2009,"raja clavata",643604
2009,"raja microocellata",321764
2009,"raja montagui",643532
2009,"raja undulata",160900
2009,"sardina pilchardus",161813
2009,"scophthalmus rhombus",172749
2009,"scyliorhinus canicula",320130
2009,"solea solea",1038012
2009,"sprattus sprattus",323578
2009,"squalus acanthias",160617
2009,"squatina squatina",160788
2009,"trachurus trachurus",337176
2010,"aphanopus carbo",172389
2010,"argentina silus",162064
2010,"beryx spp",166154
2010,"brosme brosme",164740
2010,"capros aper",166320
2010,"centrophorus squamosus",160635
2010,"cetorhinus maximus",159907
2010,"chelidonichthys cuculus",692071
2010,"clupea harengus",646888
2010,"coryphaenoides rupestris",330700
2010,"dalatias licha",160651
2010,"dicentrarchus labrax",340634
2010,"engraulis encrasicolus",161831
2010,"eutrigla gurnardus",167044
2010,"gadus morhua",494136
2010,"galeorhinus galeus",160181
2010,"galeus melastomus",160034
2010,"glyptocephalus cynoglossus",172873
2010,"hoplostethus atlanticus",166139
2010,"lamna nasus",159911
2010,"leucoraja circularis",564128
2010,"leucoraja fullonica",564134
2010,"leucoraja naevus",564143
2010,"macrourus berglax",165421
2010,"melanogrammus aeglefinus",329488
2010,"merlangius merlangus",494274
2010,"micromesistius poutassou",164774
2010,"microstomus kitt",172888
2010,"molva dypterygia",329522
2010,"molva molva",164760
2010,"mullus surmuletus",169418
2010,"mustelus spp",160226
2010,"nephrops norvegicus",97317
2010,"pagellus bogaraveo",169212
2010,"phycis blennoides",164751
2010,"pleuronectes platessa",1037412
2010,"raja brachyura",482640
2010,"raja clavata",643604
2010,"raja microocellata",321764
2010,"raja montagui",643532
2010,"raja undulata",160900
2010,"sardina pilchardus",161813
2010,"scophthalmus rhombus",172749
2010,"scyliorhinus canicula",320130
2010,"solea solea",1038012
2010,"sprattus sprattus",323578
2010,"squalus acanthias",160617
2010,"squatina squatina",160788
2010,"trachurus trachurus",337176
2011,"aphanopus carbo",172389
2011,"argentina silus",162064
2011,"beryx spp",166154
2011,"brosme brosme",164740
2011,"capros aper",166320
2011,"centrophorus squamosus",160635
2011,"cetorhinus maximus",159907
2011,"chelidonichthys cuculus",692071
2011,"clupea harengus",646888
2011,"coryphaenoides rupestris",330700
2011,"dalatias licha",160651
2011,"dicentrarchus labrax",340634
2011,"engraulis encrasicolus",161831
2011,"eutrigla gurnardus",167044
2011,"gadus morhua",494136
2011,"galeorhinus galeus",160181
2011,"galeus melastomus",160034
2011,"glyptocephalus cynoglossus",172873
2011,"hoplostethus atlanticus",166139
2011,"lamna nasus",159911
2011,"leucoraja circularis",564128
2011,"leucoraja fullonica",564134
2011,"leucoraja naevus",564143
2011,"macrourus berglax",165421
2011,"melanogrammus aeglefinus",329488
2011,"merlangius merlangus",494274
2011,"micromesistius poutassou",164774
2011,"microstomus kitt",172888
2011,"molva dypterygia",329522
2011,"molva molva",164760
2011,"mullus surmuletus",169418
2011,"mustelus spp",160226
2011,"nephrops norvegicus",97317
2011,"pagellus bogaraveo",169212
2011,"phycis blennoides",164751
2011,"pleuronectes platessa",1037412
2011,"raja brachyura",482640
2011,"raja clavata",643604
2011,"raja microocellata",321764
2011,"raja montagui",643532
2011,"raja undulata",160900
2011,"sardina pilchardus",161813
2011,"scophthalmus rhombus",172749
2011,"scyliorhinus canicula",320130
2011,"solea solea",1038012
2011,"sprattus sprattus",323578
2011,"squalus acanthias",160617
2011,"squatina squatina",160788
2011,"trachurus trachurus",337176
2012,"aphanopus carbo",172389
2012,"argentina silus",162064
2012,"beryx spp",166154
2012,"brosme brosme",164740
2012,"capros aper",166320
2012,"centrophorus squamosus",160635
2012,"cetorhinus maximus",159907
2012,"chelidonichthys cuculus",692071
2012,"clupea harengus",646888
2012,"coryphaenoides rupestris",330700
2012,"dalatias licha",160651
2012,"dicentrarchus labrax",340634
2012,"engraulis encrasicolus",161831
2012,"eutrigla gurnardus",167044
2012,"gadus morhua",494136
2012,"galeorhinus galeus",160181
2012,"galeus melastomus",160034
2012,"glyptocephalus cynoglossus",172873
