"year","scientificname","total_tons"
2003,"dicentrarchus labrax",170317
2003,"engraulis encrasicolus",161831
2003,"galeus melastomus",160034
2003,"lepidorhombus boscii",172834
2003,"lepidorhombus whiffiagonis",172835
2003,"leucoraja naevus",1128286
2003,"lophius budegassa",164502
2003,"lophius piscatorius",164501
2003,"merlangius merlangus",164758
2003,"merluccius merluccius",164795
2003,"mullus surmuletus",169418
2003,"pleuronectes platessa",172902
2003,"pollachius pollachius",164728
2003,"raja clavata",160901
2003,"raja montagui",160883
2003,"sardina pilchardus",161813
2003,"scyliorhinus canicula",160065
2003,"solea solea",173002
2003,"trachurus trachurus",168588
2004,"dicentrarchus labrax",170317
2004,"engraulis encrasicolus",161831
2004,"galeus melastomus",160034
2004,"lepidorhombus boscii",172834
2004,"lepidorhombus whiffiagonis",172835
2004,"leucoraja naevus",1128286
2004,"lophius budegassa",164502
2004,"lophius piscatorius",164501
2004,"merlangius merlangus",164758
2004,"merluccius merluccius",164795
2004,"mullus surmuletus",169418
2004,"pleuronectes platessa",172902
2004,"pollachius pollachius",164728
2004,"raja clavata",160901
2004,"raja montagui",160883
2004,"sardina pilchardus",161813
2004,"scyliorhinus canicula",160065
2004,"solea solea",173002
2004,"trachurus trachurus",168588
2005,"dicentrarchus labrax",170317
2005,"engraulis encrasicolus",161831
2005,"galeus melastomus",160034
2005,"lepidorhombus boscii",172834
2005,"lepidorhombus whiffiagonis",172835
2005,"leucoraja naevus",1128286
2005,"lophius budegassa",164502
2005,"lophius piscatorius",164501
2005,"merlangius merlangus",164758
2005,"merluccius merluccius",164795
2005,"mullus surmuletus",169418
2005,"pleuronectes platessa",172902
2005,"pollachius pollachius",164728
2005,"raja brachyura",160880
2005,"raja clavata",160901
2005,"raja montagui",160883
2005,"sardina pilchardus",161813
2005,"scyliorhinus canicula",160065
2005,"solea solea",173002
2005,"trachurus trachurus",168588
2006,"dicentrarchus labrax",170317
2006,"engraulis encrasicolus",161831
2006,"galeus melastomus",160034
2006,"lepidorhombus boscii",172834
2006,"lepidorhombus whiffiagonis",172835
2006,"leucoraja naevus",1128286
2006,"lophius budegassa",164502
2006,"lophius piscatorius",164501
2006,"merlangius merlangus",164758
2006,"merluccius merluccius",164795
2006,"mullus surmuletus",169418
2006,"pleuronectes platessa",172902
2006,"pollachius pollachius",164728
2006,"raja brachyura",160880
2006,"raja clavata",160901
2006,"raja montagui",160883
2006,"sardina pilchardus",161813
2006,"scyliorhinus canicula",160065
2006,"solea solea",173002
2006,"trachurus trachurus",168588
2007,"dicentrarchus labrax",170317
2007,"engraulis encrasicolus",161831
2007,"galeus melastomus",160034
2007,"lepidorhombus boscii",172834
